lon,lat,amenity
-73.9691028,40.7619839,library
-73.9552528,40.8154214,school
-73.9368787,40.7514099,school
-73.9421993,40.7852603,school
-73.9884494,40.7340021,school
-73.9433333,40.8061111,school
-73.9379756,40.8085961,school
-73.9598549,40.7742739,school
-73.9702671,40.8016979,school
-73.9933185,40.7405048,library
-73.9553486,40.7144185,school
-73.9287483,40.8078786,school
-73.9945837,40.7237133,school
-73.9663889,40.8052778,school
-74.003083,40.7322415,school
-73.9680901,40.7069914,school
-73.9329151,40.7942678,school
-73.963484,40.7097874,school
-73.9437488,40.8026009,school
-73.9675111,40.7958865,library
-73.9523273,40.7070651,school
-73.9558333,40.7066667,school
-73.947496,40.8172558,school
-73.9260636,40.8136235,school
-73.9260652,40.8135702,school
-73.9952778,40.7288889,school
-73.92556,40.82028,school
-73.9777778,40.7894444,school
-73.9458421,40.7738993,school
-73.9461111,40.8266667,school
-73.9388889,40.8069444,school
-73.9886851,40.82074,library
-73.9558333,40.8105556,school
-74.0022708,40.7276924,school
-73.9821387,40.7194395,school
-73.9956863,40.7286484,university
-73.9889879,40.7553245,university
-73.990094,40.7483872,university
-73.9558333,40.7838889,school
-73.989028,40.731491,school
-73.9971892,40.7371874,college
-74.0096401,40.714284,college
-73.9666795,40.768641,school
-73.9575,40.7847222,school
-73.968048,40.7874497,school
-73.9527778,40.7886111,school
-73.9433333,40.7886111,school
-73.9325,40.7983333,school
-74.0025133,40.7424972,school
-73.9784719,40.8220449,school
-73.9597364,40.7653352,school
-73.9888889,40.7677778,school
-73.9802778,40.7708333,school
-73.9945507,40.7472611,school
-73.9444444,40.8077778,school
-73.9841436,40.7711126,school
-73.9832316,40.718396,school
-73.9359461,40.8238576,school
-74.00472,40.74528,school
-73.9892864,40.7436696,language_school
-73.9905257,40.7318504,school
-73.9733504,40.7537872,library
-74.0030561,40.7322655,school
-74.0050109,40.7466876,school
-73.9994444,40.73,school
-73.9793368,40.7197787,library
-73.9470509,40.8265979,school
-73.9827711,40.7325455,school
-73.9973616,40.7392686,school
-73.988329,40.7297222,school
-73.9825978,40.732711,school
-73.9391436,40.712073,school
-73.9502778,40.8161111,school
-73.9603575,40.7572827,school
-73.9391759,40.7118943,school
-73.9540269,40.7234356,school
-74.0145841,40.8101006,school
-73.9390412,40.7998401,school
-73.9827378,40.7324983,school
-73.9937706,40.7330264,college
-73.9684057,40.7511917,school
-73.9257221,40.8134341,school
-73.9566667,40.8197222,school
-73.9387486,40.8070452,school
-73.9260685,40.8134846,school
-73.9428949,40.8144365,school
-73.9448392,40.7099137,school
-73.9542186,40.8026256,school
-73.9929081,40.7481685,school
-73.995,40.7311111,school
-73.9350376,40.7445161,college
-73.9416018,40.7922885,school
-73.9711706,40.7915466,school
-73.9487701,40.7935953,school
-73.9470821,40.8173228,school
-73.9401375,40.8176007,school
-73.9518045,40.8059341,school
-73.9420183,40.785175,school
-73.9983623,40.7513768,college
-73.9641727,40.7672109,school
-73.9344444,40.805,school
-73.9561111,40.8108333,school
-73.9750298,40.7598662,school
-74.0112224,40.7057886,school
-73.9822222,40.7438889,school
-73.9828079,40.7729855,library
-73.9970835,40.8137117,school
-74.0002418,40.7291677,school
-73.9513527,40.7687504,school
-73.9449609,40.7096916,school
-73.9886384,40.7615114,school
-73.9595921,40.7655687,school
-73.9595892,40.7654825,school
-73.9358448,40.8265379,library
-73.9894492,40.7172222,school
-73.9844444,40.7327778,school
-73.9852838,40.7744535,school
-73.9511111,40.8163889,school
-73.9852838,40.7744886,school
-73.9597556,40.7687028,college
-73.9922222,40.73,library
-73.9605115,40.7067842,school
-73.9964838,40.7406754,school
-73.9711954,40.7917156,school
-73.9508333,40.7702778,school
-73.9260669,40.8136843,school
-73.9423388,40.785306,school
-73.9817312,40.7352329,school
-74.0005556,40.7441667,school
-73.9569057,40.7150849,school
-73.9737421,40.7849411,school
-73.9681433,40.7893499,school
-73.9711891,40.7916365,school
-73.9817758,40.7519454,library
-73.9699427,40.7943555,school
-74.0069841,40.7073611,school
-73.9649712,40.8061636,library
-73.9440266,40.707047,school
-73.9526428,40.8157375,school
-73.9763975,40.7836137,school
-73.9955137,40.7240774,library
-73.9447141,40.7097037,school
-73.9845834,40.7712124,university
-73.9503869,40.7863421,kindergarten
-74.0079247,40.7134916,library
-73.9895047,40.7172739,school
-73.9945327,40.735357,university
-73.9711111,40.7663889,school
-74.0025092,40.7425475,school
-74.0025141,40.7424555,school
-74.0025156,40.7424139,school
-73.9887389,40.7362396,college
-73.9826249,40.7696619,university
-73.9509376,40.7938013,school
-73.9667266,40.7644686,library
-73.9847509,40.7732287,library
-73.9627778,40.7686111,school
-73.9616667,40.7763889,library
-73.9972548,40.7322674,college
-73.9994085,40.7306773,university
-73.936783,40.7517275,school
-73.9836119,40.7405695,library
-73.9809816,40.7462177,school
-73.9572791,40.7173889,school
-73.9486448,40.7972652,school
-73.9904166,40.8173228,school
-73.9959724,40.8189894,school
-73.9859721,40.8267671,school
-73.9943057,40.8112118,school
-73.9923611,40.8259337,school
-74.0156954,40.7157749,library
-73.9957151,40.7286994,university
-73.9959992,40.7311194,university
-73.9942764,40.7294602,university
-73.9737223,40.7415246,school
-73.9956433,40.7309784,university
-73.9965041,40.7289742,university
-73.9958333,40.7227778,school
-73.9828622,40.7325775,school
-73.9617216,40.7154162,school
-73.9483333,40.7808333,school
