pts_health.lon,pts_health.lat,pts_health.amenity
-74.0006384,40.7174059,doctors
-73.9976561,40.7469724,dentist
-73.9923316,40.7495759,social_facility
-73.931124,40.757359,pharmacy
-73.9723853,40.7909926,dentist
-73.9683307,40.7557215,dentist
-73.9806671,40.7834003,pharmacy
-73.9857349,40.7681947,pharmacy
-73.9978469,40.7155025,pharmacy
-73.9980907,40.7155941,clinic
-73.9833891,40.732783,hospital
-73.9817327,40.7330672,hospital
-73.9897815,40.7348335,hospital
-73.9887647,40.7273908,pharmacy
-73.9870074,40.7674897,veterinary
-73.9769452,40.787337,pharmacy
-73.9908411,40.7561497,pharmacy
-74.0028144,40.7441183,pharmacy
-73.9865698,40.7328324,clinic
-73.9497877,40.8268934,doctors
-73.9647568,40.7729655,pharmacy
-73.9423116,40.7704141,hospital
-73.9695829,40.7856567,hospital
-73.9770699,40.7640619,hospital
-73.9540282,40.7293768,pharmacy
-73.982422,40.731866,pharmacy
-73.9825327,40.7667867,pharmacy
-73.9958348,40.7594639,pharmacy
-73.9948567,40.7318091,pharmacy
-73.9804686,40.7824879,pharmacy
-73.9764926,40.7448464,pharmacy
-73.9624634,40.7201238,pharmacy
-73.9904277,40.7299812,pharmacy
-73.9830229,40.7150478,pharmacy
-74.0022394,40.8090544,pharmacy
-73.9853594,40.7781074,pharmacy
-74.0075338,40.7102691,pharmacy
-74.0045044,40.7476133,pharmacy
-73.9979495,40.7458001,pharmacy
-73.945659,40.8080704,pharmacy
-73.9710738,40.7585698,pharmacy
-74.0025703,40.7399977,pharmacy
-73.9700071,40.7942362,pharmacy
-73.9917475,40.7440131,pharmacy
-73.9847222,40.7344444,hospital
-73.9252799,40.8116962,clinic
-73.9481543,40.7466295,dentist
-74.0061987,40.7108329,pharmacy
-73.9969815,40.7258985,hospital
-73.9591112,40.7631454,pharmacy
-73.9756649,40.789845,pharmacy
-73.9533573,40.75881,pharmacy
-73.9846561,40.7486895,pharmacy
-73.9946646,40.7284432,pharmacy
-73.9824507,40.7768158,pharmacy
-74.0132627,40.7062064,pharmacy
-74.0096068,40.7072059,pharmacy
-73.9697612,40.7575851,pharmacy
-73.981755,40.747042,pharmacy
-73.9922228,40.7428663,pharmacy
-73.9781142,40.7546522,pharmacy
-73.9540216,40.7818941,pharmacy
-73.978253,40.7459908,pharmacy
-73.9723713,40.7933581,pharmacy
-73.9664242,40.7939817,pharmacy
-73.9691408,40.7987939,pharmacy
-73.9824745,40.7712451,pharmacy
-73.9631438,40.7191935,pharmacy
-74.0002167,40.7374751,pharmacy
-73.9658563,40.8048227,pharmacy
-73.9770726,40.7793896,pharmacy
-73.9788161,40.7828887,pharmacy
-74.0078158,40.7073222,pharmacy
-73.9919816,40.7596478,pharmacy
-73.9868305,40.7333888,pharmacy
-73.9490288,40.7769608,pharmacy
-73.9997821,40.7329503,pharmacy
-74.0015697,40.741435,pharmacy
-73.9968041,40.7472284,pharmacy
-73.9993543,40.7386298,pharmacy
-73.9558813,40.7454279,pharmacy
-73.9954353,40.7396267,pharmacy
-73.9542468,40.8217049,pharmacy
-73.9825367,40.7317167,pharmacy
-73.9635523,40.7653369,pharmacy
-73.9776938,40.7633009,pharmacy
-73.9775439,40.7642594,pharmacy
-73.9556871,40.7678539,pharmacy
-73.9542465,40.7705966,pharmacy
-73.9473499,40.7800468,pharmacy
-73.9840119,40.7431094,pharmacy
-73.9768255,40.7437966,pharmacy
-73.9894867,40.7630462,pharmacy
-73.9827133,40.7564403,pharmacy
-73.9549131,40.7772371,pharmacy
-73.9822754,40.7785924,pharmacy
-74.006028,40.7142106,pharmacy
-74.004367,40.7074523,pharmacy
-73.9809033,40.7812666,pharmacy
-73.9770846,40.7794256,pharmacy
-73.9734385,40.7477238,pharmacy
-73.9833354,40.7390978,pharmacy
-73.9877138,40.7706544,pharmacy
-73.9876967,40.7706209,pharmacy
-73.9828738,40.7674908,pharmacy
-73.9944386,40.7284023,pharmacy
-73.9763761,40.7513168,pharmacy
-73.9843167,40.7613984,pharmacy
-73.9834959,40.7626458,pharmacy
-74.0021843,40.7193544,pharmacy
-73.9797662,40.7553542,pharmacy
-73.9628489,40.7630218,pharmacy
-73.9874993,40.7509591,pharmacy
-73.9866979,40.7541258,pharmacy
-73.976564,40.7232362,pharmacy
-73.959492,40.7087925,pharmacy
-73.9694454,40.7623775,doctors
-73.9570783,40.7645704,hospital
-74.0127792,40.7068085,dentist
-73.9259189,40.8060583,social_facility
-74.0055287,40.7429944,social_facility
-73.9876343,40.713029,hospital
-73.9535906,40.7699677,hospital
-73.9486754,40.7263117,doctors
-73.9509477,40.7255839,doctors
-73.9529032,40.7903936,hospital
-73.9399754,40.8143054,hospital
-73.9591532,40.8091195,pharmacy
-73.9926061,40.7434844,doctors
-73.9472222,40.8252778,hospital
-74.0093501,40.7160601,pharmacy
-73.9322574,40.7865276,hospital
-73.9530556,40.7894444,hospital
-74.0008333,40.7377778,hospital
-73.9616613,40.7732745,hospital
-73.9388688,40.8130926,pharmacy
-73.9365994,40.7957319,social_facility
-73.9541667,40.7897222,hospital
-73.9435161,40.7956249,dentist
-73.9280556,40.785,hospital
-73.9635141,40.764316,hospital
-73.9536492,40.7285561,pharmacy
-73.9514556,40.7912,pharmacy
-73.9781125,40.7291333,pharmacy
-73.9561118,40.7640249,hospital
-73.9713106,40.7642521,hospital
-73.9448133,40.7849033,hospital
-73.9641697,40.7672475,hospital
-73.92488,40.7682632,hospital
-73.953714,40.7897367,hospital
-73.99052,40.726756,doctors
-74.0215983,40.7823044,pharmacy
-73.9685881,40.791879,pharmacy
-73.9815436,40.7141492,pharmacy
-74.0017197,40.7455643,pharmacy
-74.0151076,40.7166985,pharmacy
-73.9575997,40.708162,pharmacy
