pts.lon,pts.lat,pts.amenity
-73.9855948,40.7586547,bank
-73.9962024,40.7164663,bank
-73.9844226,40.7617606,bank
-73.9833268,40.7555256,bank
-73.9609463,40.7696778,bank
-73.9694901,40.7579191,bank
-73.9581907,40.7644185,bank
-74.0114497,40.7077377,bank
-74.0024985,40.7392273,bank
-73.969723,40.7635367,bank
-74.0133493,40.7061255,bank
-74.0086688,40.7110203,bank
-73.9822575,40.7628715,bank
-73.9830558,40.7567386,bank
-73.9776416,40.7633699,bank
-73.9709235,40.761901,bank
-73.9764798,40.7561329,bank
-73.9743648,40.7906199,bank
-74.0021615,40.7406369,bank
-73.9666094,40.7937261,bank
-73.9722851,40.794491,bank
-73.9927249,40.7586769,bank
-73.9996791,40.7381947,bank
-73.9767764,40.7798071,bank
-73.9661826,40.8054163,bank
-73.9717492,40.7865136,bank
-73.9719916,40.7631603,bank
-74.0026244,40.7332291,bank
-74.0039475,40.7477695,bank
-73.9866829,40.7295762,bank
-73.9990655,40.7230126,bank
-73.9911499,40.7339303,bank
-73.9822506,40.7621145,bank
-73.9825123,40.7617558,bank
-73.9637106,40.7651106,bank
-73.9642202,40.7652782,bank
-73.9569702,40.7743532,bank
-73.9563296,40.7677332,bank
-73.9910204,40.7559243,bank
-73.9951099,40.7596568,bank
-73.9520412,40.7777996,bank
-73.9951711,40.7184398,bank
-73.9710869,40.7951017,bank
-73.9675069,40.8019529,bank
-73.978639,40.7851489,bank
-73.9818347,40.7711048,bank
-74.001691,40.7412681,bank
-73.9898344,40.7325246,bank
-73.9555193,40.7792619,bank
-73.95591,40.7675548,bank
-73.9754802,40.7891399,bank
-73.9870948,40.7563513,bank
-73.978887,40.7776752,bank
-73.9811352,40.7745185,bank
-73.9822564,40.7786706,bank
-74.0045219,40.7078424,bank
-73.9945454,40.7185051,bank
-73.9702253,40.7937989,bank
-73.9775524,40.7787567,bank
-73.9875222,40.7291628,bank
-73.9777377,40.7864933,bank
-74.0021757,40.7399172,bank
-74.0057147,40.7360199,bank
-73.9913975,40.7358557,bank
-73.995554,40.7166185,bank
-73.9964093,40.7161292,bank
-73.9988286,40.7169767,bank
-74.0096758,40.7099518,bank
-74.0051642,40.7280055,bank
-73.9763608,40.7880383,bank
-73.9713895,40.7947039,bank
-73.9742438,40.7832982,bank
-73.9485008,40.8092477,bank
-73.9557524,40.7760002,bank
-73.964597,40.7646576,bank
-73.9562037,40.7671455,bank
-73.9525972,40.7720932,bank
-73.9972228,40.7164143,bank
-73.9768695,40.7874304,bank
-73.9824614,40.7766342,bank
-73.9813311,40.7786726,bank
-73.981856,40.7714944,bank
-73.9699958,40.7631572,bank
-74.0014239,40.7467485,bank
-74.0047352,40.7414431,bank
-74.0008402,40.7416839,bank
-73.992305,40.74907,bank
-73.9824512,40.7568069,bank
-73.9825988,40.7565749,bank
-73.9768632,40.7644047,bank
-73.9659344,40.7954032,bank
-74.0015699,40.7194362,bank
-73.9444308,40.8241121,bank
-73.9870987,40.7297579,bank
-73.9951302,40.7182721,bank
-73.9909713,40.7346915,bank
-73.9787121,40.7538216,bank
-73.9547613,40.7781083,bank
-73.9729753,40.7935647,bank
-74.0009938,40.7422271,bank
-73.9786125,40.761965,bank
-73.9812293,40.7797462,bank
-73.9893519,40.7399899,bank
-73.9682054,40.7991144,bank
-73.9492609,40.7765852,bank
-73.9673493,40.7925391,bank
-73.9660711,40.8046223,bank
-73.9828569,40.7227178,bank
-73.9540291,40.7301161,bank
-74.0071475,40.7071821,bank
-73.9783816,40.7572766,bank
-73.980654,40.754045,bank
-73.9821286,40.7521545,bank
-73.982918,40.750366,bank
-73.9906614,40.7512282,bank
-73.9938037,40.7521101,bank
-73.984547,40.748145,bank
-74.0117712,40.7147515,bank
-74.0115565,40.7151427,bank
-74.0094789,40.715468,bank
-73.9895832,40.752085,bank
-74.0110037,40.7083019,bank
-74.008654,40.7061741,bank
-73.979202,40.7504506,bank
-73.9789244,40.7508392,bank
-73.978632,40.750301,bank
-73.9784255,40.7506137,bank
