lon,lat,home
-73.972948,40.7264901,residential
-73.9733478,40.7258909,residential
-73.9740493,40.7261827,residential
-73.9766986,40.7225307,residential
-73.9749736,40.721806,residential
-73.9747873,40.7218993,residential
-73.974778,40.7219522,residential
-73.9747234,40.7221571,residential
-73.9746225,40.7224388,residential
-73.974516,40.7226692,residential
-73.9743487,40.7229675,residential
-73.9740636,40.7234337,residential
-73.973624,40.7240968,residential
-73.973478,40.7242927,residential
-73.9731516,40.7247961,residential
-73.9728226,40.7253186,residential
-73.9725916,40.7256795,residential
-73.9722864,40.726211,residential
-73.972948,40.7264901,residential
-73.9729269,40.7389554,residential
-73.9726541,40.7388862,residential
-73.972624,40.7378872,residential
-73.97261,40.7372739,residential
-73.9725908,40.73687,residential
-73.9725988,40.7368436,residential
-73.9725643,40.7364542,residential
-73.9728289,40.7365621,residential
-73.9735853,40.736871,residential
-73.9738494,40.7365075,residential
-73.9743193,40.7366964,residential
-73.9744358,40.7367485,residential
-73.9741655,40.7371631,residential
-73.9731838,40.7385377,residential
-73.9730518,40.7387506,residential
-73.9729269,40.7389554,residential
-73.9787533,40.7197764,residential
-73.9804399,40.7165102,residential
-73.9765699,40.7153403,residential
-73.9754587,40.71759,residential
-73.9752319,40.7184391,residential
-73.9752258,40.7187414,residential
-73.975625,40.7188113,residential
-73.9760493,40.7179303,residential
-73.976783,40.7181449,residential
-73.9763234,40.7189564,residential
-73.9773173,40.7191867,residential
-73.9787533,40.7197764,residential
-73.9797724,40.7140487,residential
-73.9793776,40.7148066,residential
-73.9787782,40.7146436,residential
-73.978718,40.7145342,residential
-73.9785711,40.714495,residential
-73.9781611,40.7143692,residential
-73.9781145,40.7143544,residential
-73.9780309,40.7143906,residential
-73.9780188,40.7143932,residential
-73.9779152,40.7143989,residential
-73.9778102,40.7143909,residential
-73.9777082,40.7143738,residential
-73.9771734,40.7142045,residential
-73.9780716,40.7124538,residential
-73.9795826,40.7123585,residential
-73.9797671,40.7135693,residential
-73.9797724,40.7140487,residential
-73.9296755,40.7623551,residential
-73.9328078,40.763831,residential
-73.9337631,40.7628363,residential
-73.9306109,40.7613834,residential
-73.9296755,40.7623551,residential
-73.9329399,40.7641519,residential
-73.9344477,40.7648604,residential
-73.9352577,40.7635541,residential
-73.9340403,40.7629982,residential
-73.9329399,40.7641519,residential
-74.0002317,40.714147,residential
-74.0004409,40.7132748,residential
-73.9991078,40.713472,residential
-73.9989389,40.7135411,residential
-74.0002317,40.714147,residential
-73.9936214,40.7564462,residential
-73.9935393,40.7565557,residential
-73.993515,40.7565884,residential
-73.9934899,40.7566224,residential
-73.9933716,40.7565722,residential
-73.9933967,40.7565383,residential
-73.9934209,40.7565049,residential
-73.9935027,40.7563955,residential
-73.9935295,40.756407,residential
-73.9935589,40.7564195,residential
-73.9935903,40.756433,residential
-73.9936214,40.7564462,residential
-73.9750094,40.7349367,residential
-73.9750749,40.7352333,residential
-73.9750912,40.735293,residential
-73.9751082,40.7354184,residential
-73.9762261,40.7358976,residential
-73.9763227,40.735939,residential
-73.9764244,40.7359825,residential
-73.9785141,40.7368726,residential
-73.9785782,40.7367819,residential
-73.9789954,40.7361899,residential
-73.9790238,40.7361505,residential
-73.9793862,40.7356486,residential
-73.9794353,40.7355808,residential
-73.97947,40.7355377,residential
-73.9796173,40.7353522,residential
-73.9798823,40.7350189,residential
-73.9797586,40.7349654,residential
-73.9781763,40.7342807,residential
-73.9777817,40.73411,residential
-73.9777036,40.7340765,residential
-73.9776225,40.7340429,residential
-73.9769466,40.7337636,residential
-73.9759022,40.7333319,residential
-73.9754212,40.7331331,residential
-73.9753534,40.733105,residential
-73.9752895,40.7330786,residential
-73.9745883,40.7327886,residential
-73.9744611,40.7327577,residential
-73.9745008,40.7329163,residential
-73.9748332,40.7341993,residential
-73.9750094,40.7349367,residential
-73.9757728,40.7287272,residential
-73.9741781,40.7309623,residential
-73.974232,40.7313681,residential
-73.9745646,40.7325102,residential
-73.9797843,40.7347175,residential
-73.9821693,40.731432,residential
-73.9757728,40.7287272,residential
-73.950026,40.8115116,residential
-73.9475079,40.8104457,residential
-73.9467361,40.8115645,residential
-73.9473369,40.8118181,residential
-73.9470514,40.8121827,residential
-73.946464,40.8119265,residential
-73.9458531,40.8127702,residential
-73.9484006,40.8138132,residential
-73.950026,40.8115116,residential
-73.9382888,40.8164629,residential
-73.9376471,40.8173533,residential
-73.9380415,40.8175161,residential
-73.9374741,40.8183034,residential
-73.9361312,40.8177491,residential
-73.9365854,40.8171189,residential
-73.9351051,40.8165078,residential
-73.9358601,40.8154603,residential
-73.9382888,40.8164629,residential
-73.9264088,40.8116447,residential
-73.9265238,40.8117608,residential
-73.9236203,40.8157858,residential
-73.9225854,40.8155175,residential
-73.9214068,40.8141831,residential
-73.9264088,40.8116447,residential
-73.9359738,40.8148596,residential
-73.9346236,40.8167488,residential
-73.9344198,40.8166635,residential
-73.9346255,40.8146673,residential
-73.9348014,40.8143617,residential
-73.9359738,40.8148596,residential
-73.944405,40.7916322,residential
-73.9401325,40.7898562,residential
-73.939388,40.7908828,residential
-73.9417162,40.7918593,residential
-73.9436606,40.7926587,residential
-73.944405,40.7916322,residential
-73.9447967,40.7967456,residential
-73.943583,40.7984106,residential
-73.9422655,40.7978603,residential
-73.9426641,40.7973134,residential
-73.9424961,40.7972432,residential
-73.9421273,40.7970928,residential
-73.9421551,40.7970538,residential
-73.9411929,40.7966615,residential
-73.9411609,40.7966572,residential
-73.9419602,40.7955607,residential
-73.9447967,40.7967456,residential
-73.9458489,40.7813121,residential
-73.944956,40.7825269,residential
-73.9445132,40.7823528,residential
-73.9444004,40.7823084,residential
-73.9444365,40.7820024,residential
-73.9444387,40.7819361,residential
-73.9444437,40.7817811,residential
-73.9444375,40.7816454,residential
-73.9444329,40.7815462,residential
-73.9444219,40.7814918,residential
-73.9443929,40.7813485,residential
-73.9443715,40.781243,residential
-73.9443642,40.7812225,residential
-73.9442669,40.7809506,residential
-73.9445321,40.7807731,residential
-73.9458489,40.7813121,residential
-73.9486498,40.7548551,residential
-73.9484803,40.7550592,residential
-73.9479143,40.7557122,residential
-73.9472936,40.7562979,residential
-73.9457902,40.7576488,residential
-73.9444197,40.7567839,residential
-73.9429754,40.7560089,residential
-73.9414684,40.7552317,residential
-73.9438193,40.7527929,residential
-73.9462255,40.7538053,residential
-73.9473342,40.7542831,residential
-73.9486498,40.7548551,residential
-73.9389253,40.7608406,residential
