,long,lat,id,num
1,-73.972948,40.7264901,1.0001,17
2,-73.9733478,40.7258909,1.0002,21
3,-73.9740493,40.7261827,1.0003,50
4,-73.9766986,40.7225307,1.0004,87
5,-73.9749736,40.721806,1.0005,55
6,-73.9747873,40.7218993,1.0006,48
7,-73.974778,40.7219522,1.0007,47
8,-73.9747234,40.7221571,1.0008,45
9,-73.9746225,40.7224388,1.0009,43
10,-73.974516,40.7226692,1.001,41
11,-73.9743487,40.7229675,1.0011,36
12,-73.9740636,40.7234337,1.0012,27
13,-73.973624,40.7240968,1.0013,20
14,-73.973478,40.7242927,1.0014,16
15,-73.9731516,40.7247961,1.0015,11
16,-73.9728226,40.7253186,1.0016,9
17,-73.9725916,40.7256795,1.0017,6
18,-73.9722864,40.726211,1.0018,2
19,-73.972948,40.7264901,1.0019,17
20,-73.9729269,40.7389554,1.002,129
21,-73.9726541,40.7388862,1.0021,106
22,-73.972624,40.7378872,1.0022,64
23,-73.97261,40.7372739,1.0023,49
24,-73.9725908,40.73687,1.0024,33
25,-73.9725988,40.7368436,1.0025,32
26,-73.9725643,40.7364542,1.0026,25
27,-73.9728289,40.7365621,1.0027,50
28,-73.9735853,40.736871,1.0028,114
29,-73.9738494,40.7365075,1.0029,156
30,-73.9743193,40.7366964,1.003,263
31,-73.9744358,40.7367485,1.0031,270
32,-73.9741655,40.7371631,1.0032,262
33,-73.9731838,40.7385377,1.0033,147
34,-73.9730518,40.7387506,1.0034,138
35,-73.9729269,40.7389554,1.0035,129
36,-73.9787533,40.7197764,1.0036,90
37,-73.9804399,40.7165102,1.0037,69
38,-73.9765699,40.7153403,1.0038,40
39,-73.9754587,40.71759,1.0039,41
40,-73.9752319,40.7184391,1.004,42
41,-73.9752258,40.7187414,1.0041,45
42,-73.975625,40.7188113,1.0042,51
43,-73.9760493,40.7179303,1.0043,54
44,-73.976783,40.7181449,1.0044,70
45,-73.9763234,40.7189564,1.0045,66
46,-73.9773173,40.7191867,1.0046,76
47,-73.9787533,40.7197764,1.0047,90
48,-73.9797724,40.7140487,1.0048,50
49,-73.9793776,40.7148066,1.0049,61
50,-73.9787782,40.7146436,1.005,57
51,-73.978718,40.7145342,1.0051,53
52,-73.9785711,40.714495,1.0052,50
53,-73.9781611,40.7143692,1.0053,46
54,-73.9781145,40.7143544,1.0054,44
55,-73.9780309,40.7143906,1.0055,46
56,-73.9780188,40.7143932,1.0056,45
57,-73.9779152,40.7143989,1.0057,41
58,-73.9778102,40.7143909,1.0058,38
59,-73.9777082,40.7143738,1.0059,34
60,-73.9771734,40.7142045,1.006,37
61,-73.9780716,40.7124538,1.0061,30
62,-73.9795826,40.7123585,1.0062,38
63,-73.9797671,40.7135693,1.0063,41
64,-73.9797724,40.7140487,1.0064,50
65,-74.0002317,40.714147,1.0075,199
66,-74.0004409,40.7132748,1.0076,151
67,-73.9991078,40.713472,1.0077,174
68,-73.9989389,40.7135411,1.0078,187
69,-74.0002317,40.714147,1.0079,199
70,-73.9936214,40.7564462,1.008,750
71,-73.9935393,40.7565557,1.0081,744
72,-73.993515,40.7565884,1.0082,748
73,-73.9934899,40.7566224,1.0083,747
74,-73.9933716,40.7565722,1.0084,758
75,-73.9933967,40.7565383,1.0085,754
76,-73.9934209,40.7565049,1.0086,752
77,-73.9935027,40.7563955,1.0087,775
78,-73.9935295,40.756407,1.0088,766
79,-73.9935589,40.7564195,1.0089,760
80,-73.9935903,40.756433,1.009,759
81,-73.9936214,40.7564462,1.0091,750
82,-73.9750094,40.7349367,1.0092,154
83,-73.9750749,40.7352333,1.0093,228
84,-73.9750912,40.735293,1.0094,245
85,-73.9751082,40.7354184,1.0095,274
86,-73.9762261,40.7358976,1.0096,280
87,-73.9763227,40.735939,1.0097,282
88,-73.9764244,40.7359825,1.0098,279
89,-73.9785141,40.7368726,1.0099,383
90,-73.9785782,40.7367819,1.01,384
91,-73.9789954,40.7361899,1.0101,346
92,-73.9790238,40.7361505,1.0102,341
93,-73.9793862,40.7356486,1.0103,339
94,-73.9794353,40.7355808,1.0104,338
95,-73.97947,40.7355377,1.0105,341
96,-73.9796173,40.7353522,1.0106,344
97,-73.9798823,40.7350189,1.0107,342
98,-73.9797586,40.7349654,1.0108,333
99,-73.9781763,40.7342807,1.0109,267
100,-73.9777817,40.73411,1.011,260
101,-73.9777036,40.7340765,1.0111,255
102,-73.9776225,40.7340429,1.0112,262
103,-73.9769466,40.7337636,1.0113,233
104,-73.9759022,40.7333319,1.0114,126
105,-73.9754212,40.7331331,1.0115,113
106,-73.9753534,40.733105,1.0116,112
107,-73.9752895,40.7330786,1.0117,110
108,-73.9745883,40.7327886,1.0118,96
109,-73.9744611,40.7327577,1.0119,93
110,-73.9745008,40.7329163,1.012,94
111,-73.9748332,40.7341993,1.0121,119
112,-73.9750094,40.7349367,1.0122,154
113,-73.9757728,40.7287272,1.0123,96
114,-73.9741781,40.7309623,1.0124,85
115,-73.974232,40.7313681,1.0125,86
116,-73.9745646,40.7325102,1.0126,96
117,-73.9797843,40.7347175,1.0127,327
118,-73.9821693,40.731432,1.0128,383
119,-73.9757728,40.7287272,1.0129,96
120,-73.9991993,40.7088658,1.0239,61
121,-74.0008969,40.7102285,1.024,93
122,-74.0004834,40.7107905,1.0241,92
123,-73.9995661,40.7116843,1.0242,118
124,-73.9971037,40.7119312,1.0243,151
125,-73.9969698,40.7114132,1.0244,134
126,-73.9983362,40.7112021,1.0245,132
127,-73.9984109,40.7111773,1.0246,128
128,-73.9984582,40.7111455,1.0247,123
129,-73.9984928,40.7110986,1.0248,122
130,-73.9984855,40.7109674,1.0249,120
131,-73.9981923,40.7099125,1.025,99
132,-73.9966313,40.710139,1.0251,91
133,-73.9964072,40.7093161,1.0252,73
134,-73.9964291,40.7092954,1.0253,73
135,-73.9991993,40.7088658,1.0254,61
136,-73.9894231,40.772867,1.0255,324
137,-73.9885712,40.7740331,1.0256,301
138,-73.9869383,40.773349,1.0257,264
139,-73.9864941,40.7739571,1.0258,223
140,-73.9854819,40.773533,1.0259,272
141,-73.9867669,40.7717737,1.026,353
142,-73.9873074,40.7720002,1.0261,360
143,-73.9870546,40.7723463,1.0262,350
144,-73.9886476,40.7730137,1.0263,338
145,-73.9889114,40.7726526,1.0264,343
146,-73.9894231,40.772867,1.0265,324
147,-73.9963714,40.7102848,1.0266,87
148,-73.9966449,40.7113085,1.0267,120
149,-73.9943482,40.7115129,1.0268,53
150,-73.994222,40.7106303,1.0269,45
151,-73.9963714,40.7102848,1.027,87
152,-73.9895686,40.7113678,1.0271,53
153,-73.9897575,40.7126017,1.0272,88
154,-73.9852195,40.7130009,1.0273,47
155,-73.9850306,40.7117669,1.0274,25
156,-73.9895686,40.7113678,1.0275,53
157,-73.9838052,40.7131459,1.0276,36
158,-73.9828601,40.7132598,1.0277,29
159,-73.982959,40.7139821,1.0278,34
160,-73.9821879,40.714072,1.0279,42
161,-73.9820969,40.7133407,1.028,34
162,-73.9800605,40.7135835,1.0281,40
163,-73.9799012,40.7123068,1.0282,37
164,-73.9807762,40.7122377,1.0283,34
165,-73.9806932,40.7115663,1.0284,28
166,-73.9835442,40.7113774,1.0285,29
167,-73.9838052,40.7131459,1.0286,36
168,-73.9773637,40.74226,1.0345,588
169,-73.9754186,40.7414657,1.0346,556
170,-73.9744785,40.7428095,1.0347,566
171,-73.9742936,40.7430738,1.0348,581
172,-73.9762132,40.7438766,1.0349,841
173,-73.9773637,40.74226,1.035,588
174,-74.0098362,40.73594,1.0351,206
175,-74.0102453,40.7313571,1.0352,135
176,-74.0089806,40.7312211,1.0353,290
177,-74.0086926,40.7325527,1.0354,326
178,-74.008438,40.7354372,1.0355,496
179,-74.0083795,40.7361456,1.0356,560
180,-74.0098362,40.73594,1.0357,206
181,-73.9984982,40.7501162,1.0358,346
182,-73.9959313,40.7490401,1.0359,838
183,-73.9980707,40.746028,1.036,494
184,-73.9983402,40.7461017,1.0361,468
185,-73.9987997,40.7460682,1.0362,438
186,-73.9990604,40.7460983,1.0363,385
187,-74.000156,40.7465803,1.0364,318
188,-74.0002886,40.7467142,1.0365,330
189,-74.0006155,40.7462557,1.0366,354
190,-74.0011802,40.7464909,1.0367,381
191,-73.9984982,40.7501162,1.0368,346
192,-74.0041784,40.7448206,1.0481,889
193,-74.0050126,40.7436702,1.0482,949
194,-74.0057294,40.7439716,1.0483,964
195,-74.0059051,40.7437344,1.0484,993
196,-74.0056444,40.7436258,1.0485,937
197,-74.0058775,40.7433043,1.0486,972
198,-74.0053714,40.7430937,1.0487,937
199,-74.0055599,40.7428335,1.0488,951
200,-74.0044898,40.7423881,1.0489,897
201,-74.0030628,40.7443562,1.049,767
202,-74.0041784,40.7448206,1.0491,889
203,-74.0035178,40.7475913,1.0492,663
204,-74.003429,40.7475539,1.0493,652
205,-74.0034314,40.7475504,1.0494,653
206,-74.0034158,40.7475438,1.0495,651
207,-74.0034181,40.7475406,1.0496,651
208,-74.0032845,40.7474844,1.0497,637
209,-74.0032821,40.7474876,1.0498,636
210,-74.003263,40.7474796,1.0499,632
211,-74.0032605,40.747483,1.05,631
212,-74.0031716,40.7474456,1.0501,611
