PointName,Lng,Lat,Score
翠福园小区2,116.6493346,39.94261895,0
安平道口,116.8809528,39.7124686,6.56
安顺北里,116.6441424,39.94634593,2.67
八各庄村,116.7644617,39.87998132,1.56
八里桥北站,116.6126191,39.91262577,3.22
八里桥市场1,116.6366952,39.91430892,18.22
八里桥市场2,116.6365926,39.91359699,29.89
巴克寓所小区,116.6334044,39.88455164,18.78
靶场西路,116.6606448,39.93574612,1
百合湾小区1,116.6836776,39.91323847,10.44
百合湾小区2,116.6835749,39.91328553,11
百合湾小区3,116.6835669,39.91332558,11
百合湾小区4,116.683538,39.91331862,11
百合湾小区5,116.6836789,39.91325936,10.44
佰富苑1,116.7086567,39.9558616,4.33
佰富苑2,116.7086625,39.95592208,4.89
柏福村,116.6650702,39.70287197,2.67
柏庄村,116.8196498,39.72568179,1.56
北大化村,116.687816,39.79155941,8.22
北堤寺村,116.7541643,39.71889755,2.67
北堤寺村西口(临时站),116.7485398,39.71965038,2.11
北关桥,116.6506574,39.92133313,2.11
北火垡村,116.6345738,39.80776599,2.11
北京财贸学院1,116.6414455,39.92131885,2.67
北京财贸学院2,116.6414906,39.92130437,2.11
北京财贸职业学院,116.6415803,39.92129829,2.11
北京财政学院1,116.6416366,39.9212867,2.11
北京财政学院2,116.6414208,39.92139937,3.22
北京电子技师学校,116.6760169,39.98518728,14.89
北京理工大学附中通州校区,116.6912301,39.99113274,3.78
北京物资学院,116.6316563,39.92620783,5.44
北京物资学院南站(临时站),116.6346725,39.92075066,24.33
北京物资学院南站1,116.6336929,39.92130009,47.11
北京物资学院南站2,116.6332914,39.91930346,6
北刘村,116.7313103,39.90692788,2.67
北马庄1,116.6503779,39.94706762,2.11
北马庄2,116.6503986,39.94708081,2.11
北马庄村南,116.6516554,39.94174819,3.22
北马庄南1,116.6516476,39.94178746,3.22
北马庄南2,116.6516587,39.94175005,3.22
北马庄南3,116.6516308,39.941819,2.11
北门口村桥北,116.5426466,39.76694354,3.22
北神树东口,116.5511831,39.81619189,2.11
北寺村北口,116.7345482,39.97119881,4.33
北寺市场,116.7367483,39.96667149,9.33
北探小区1,116.6293882,39.88633336,3.22
北探小区2,116.6293732,39.8863243,3.22
北探小区3,116.6293733,39.88624432,4.33
北塘艺术区南门1,116.7127636,39.96486117,14.33
北塘艺术区南门2,116.7128213,39.96547814,9.33
北小园1,116.6686574,39.89916477,11.56
北小园2,116.6688207,39.89917381,13.22
北小园3,116.6687507,39.89920252,11.56
北许场村1,116.7068467,39.86388274,1.56
北许场村2,116.706718,39.86390481,1.56
北许场村3,116.7066627,39.86395972,1.56
北许场村4,116.7067341,39.8639138,1.56
北许场村5,116.706743,39.86389372,1.56
北许场村6,116.70671,39.86390875,1.56
北许场村7,116.7066612,39.86394283,1.56
北许场村8,116.7066572,39.86392283,1.56
北许场新村1,116.715555,39.85457364,22.67
北许场新村2,116.71554,39.85455765,23.22
贝思达临时站,116.7126806,39.9767635,2.11
滨河中路1,116.6936679,39.89362948,1.56
滨河中路2,116.69278,39.89417941,2.11
卜落垡村,116.7944468,39.8670596,3.78
采薇雅苑,116.8416208,39.63963656,1
苍上,116.7297374,39.7670781,2.67
苍上村,116.7297514,39.76703014,2.67
曹刘庄东,116.8755139,39.79441331,2.11
曹坨村,116.797924,39.85384447,2.11
曹园村1,116.6514619,39.86150943,1.56
曹园村2,116.6514614,39.86162523,2.11
曹园村3,116.6514643,39.86157401,2.11
曹园村西,116.6465241,39.85359411,1
